id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
133,Fennel Oleoresin 1001,Fennel Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Fennel (Oleoresins).pdf).,Single Product,None,Oleoresin Fennel (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Lead <2ppm AOAC 16th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,General Name: Fennel; is obtained by solvent extraction of seeds of cultivated variety,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark Liquid with greenish tint.,"Oleoresin Fennel manufactured for AWA Bio, used in savory& processed food solutions."
134,Oleoresin Basil,Oleoresin Basil,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Basil (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,Oleoresin Basil (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions.,Volatile oil: Lead >2ppm AOAC 16 th Edititon; Residual solvents: Residual Solvent (Total) 20 ppm max In House Method; Heavy metals: Lead >2ppm AOAC 16 th Edititon,General Name: BASIL,"HDPE Pails, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark greenish brown viscous liquied .,"Oleoresin Basil manufactured for AWA Bio, used in savory&processed food solutions,anti-oxidant."
135,Capsicum Oleoresin 1001,Capsicum Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Capsicum (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),"Capsicum Oleoresin 1000; Capsicum Oleoresin 1002; Capsicum Oleoresin 1003; Capsicum Oleoresin 500,000 SHU",Oleoresin Capsicum (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Color value: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Capsaicin: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Capsicum annuum L.or Capsicum frutescens L. (Family: Solanaceae); Solvent extraction of the dried pods of Indian red chillies,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark red liquid,"Oleoresin Capsicum manufactured for AWA Bio, used in savory processed food solutions."
136,Cardamom Oleoresin 1001,Cardamom Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN CARDAMOM (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),Cardamom Oleoresin 1002,OLEORESIN CARDAMOM (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Elettaria cardamomum Maton (Family: Zingiberaceae).; is obtained by solvent extraction of the seeds of Elettaria,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Olive green oily liquid,"OLEORESIN CARDAMOM manufactured for AWA Bio, used in savory& processed food solutions."
137,OLEORESIN CELERY,OLEORESIN CELERY,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN CELERY (Oleoresins).pdf).,Single Product,None,OLEORESIN CELERY (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Apium graveolens L.(Family :  Umbelliferae); Solvent extraction of the dried seeds,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light olive green oily liquid.,"OLEORESIN CELERY manufactured for AWA Bio, used in savory& processed food solutions."
138,Cassia Oleoresin 1001,Cassia / Cinnamon Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Cinnamon (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,Oleoresin Cinnamon (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent <20 ppm FCC IX th Edition; Residual solvents: Residual Solvent <20 ppm FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Cinnamomum cassi a blume/Naes L. (Family: Lauraceae) .; is made by solvent extraction of the dried bark of Cinnamomum cassia Nees/Blume (family:,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown liquid.,"Oleoresin Cinnamon manufactured for AWA Bio, used in savory& processed food solutions.."
139,Clove Bud Oleoresin 1001,Clove Bud Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Clove (Oleoresins).pdf).,Single Product,None,Oleoresin Clove (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,"Botanical Name: Syzygium aromaticum L.(Family: Myrtaceae).; is obtained by solvent extraction of dried clove bud, Syzygium","HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Brown liquid,"Oleoresin Clove manufactured for AWA Bio, used in savory& processed food solutions."
140,Coriander Oleoresin 1001,Coriander Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Coriander (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,Oleoresin Coriander (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Coriandrum sativum L.(Family :  Umbelliferae); Solvent extraction of the dried seeds,"HDPE Jerry Cans, Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Yellowish brown oily liquid.,"Oleoresin Coriander manufactured for AWA Bio, used in savory& processed food solutions."
141,Cumin Oleoresin 1001,Cumin Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Cumin (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,Oleoresin Cumin (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent <20 ppm FCC IX th Edition; Residual solvents: Residual Solvent <20 ppm FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Cuminum Cyminum  (Family: Umbelliferae ).; Solvent extraction of dried ripe fruit (Seed).,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brownish Green Liquid,"Oleoresin Cumin manufactured for AWA Bio, used in savory& processed food solutions.."
142,Fenugreek Oleoresin 1001,Fenugreek Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Fenugreek Oleoresin ws (Oleoresins).pdf).,Single Product,None,Fenugreek Oleoresin ws (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Residual solvents: Residual Solvent 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,"Botanical Name: Trigonella f oenum –graecum L .(family: Papilionaceae); is obtained by solvent extraction of roasted seeds of fenugreek, Trigonella foenum","HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown Thick liquid,"Fenugreek Oleoresin ws manufactured for AWA Bio, used in savory& processed food solutions."
143,Ginger Oleoresin 1001,Ginger Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN GINGER (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,OLEORESIN GINGER (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Zingiber officinale Rosc. (Family: Zingiberaceae).; is obtained by solvent extraction of dried rhizomes of,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brown viscous liquid.,"OLEORESIN GINGER manufactured for AWA Bio, used in savory& processed food solutions."
144,Mace Oleoresin,Mace Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Mace Oleoresin (Oleoresins).pdf).,Single Product,None,Mace Oleoresin (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions.,Volatile oil: Residual Solvent <20 ppm FCC IX th Edition; Residual solvents: Residual Solvent <20 ppm FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,General Name: Mace Oleoresin; is obtained by solvent extraction of dried reticulated aril,HDP / Aluminium Container,"Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,"Brownish red, free flowing liquid.","Mace Oleoresin manufactured for AWA Bio, used in savory&processed food solutions."
145,Nutmeg Oleoresin 1001,Nutmeg Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Oleoresin Nutmeg (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,Oleoresin Nutmeg (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual solvent 20 ppm max. FCC IX th Edition; Residual solvents: Residual solvent 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Myristica fragrans Houtt. (Family: Myristicaceae).; Solvent extraction of the dried seeds,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Light amber to reddish brown liquid with,"Oleoresin Nutmeg manufactured for AWA Bio, used in savory& processed food solutions."
146,Oregano Oleoresin 1001,Oregano Oleoresin,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (OLEORESIN OREGANUM (Oleoresins).pdf).,Concentration / Grade Variant (Same Application),,OLEORESIN OREGANUM (Oleoresins).pdf,Oleoresin,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions,Volatile oil: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Residual solvents: Residual Solvent (Total) 20 ppm max. FCC IX th Edition; Heavy metals: Lead <2ppm AOAC 16th Edition,Botanical Name: Origanum vulgar; Solvent extraction of the dried rhizomes,"HDPE Pails,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Dark brownish green pourable liquid.,"OLEORESIN OREGANUM manufactured for AWA Bio, used in savory&processed food solutions,anti-oxidant."
147,Celery Seed Oil,Celery Seed Oil,Snacks & Savory Seasonings,Topical Seasonings & Dusting,Potato Chips / Extruded Snacks,Concentrated standardized spice flavor profile for topical dusting and snacks.,No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Snacks & Savory Seasonings ➔ Topical Seasonings & Dusting ➔ Potato Chips / Extruded Snacks | [TDS Status]: Fully verified against authentic Technical Data Sheet (Celery Seed Oil (Essential Oils).pdf).,Single Product,None,Celery Seed Oil (Essential Oils).pdf,Essential Oil,AWA Bio,AWA Bio,,Best before 24 months under the specified storage conditions.,Specific gravity: FCC); Refractive index: FCC),General Name: Celery; is obtained by steam distillation of the seeds of,"HDPE Jerry Cans,Bottles","Store in full, tight containers in a cool dry place protected from light and oxidation.",None declared,Yellowish-brown liquid,"Celery Seed Oil manufactured for AWA Bio, used in flavors, cosmetics."
